"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Dominica,no data,1112.642,1217.573,1346.688,1495.272,1642.752,1864.889,2102.964,2377.904,2582.185,2819.552,3087.299,3287.848,3448.673,3713.105,3855.291,4104.42,4254.367,4526.684,4657.561,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6975.991,7082.731,6870.298,7096.217,7402.795,7645.438,8135.091,7401.087,7541.634,8380.983,8948.648,9497.367,10033.048,10447.32,10814.363
Dominican Republic,1534.317,1677.447,1545.099,1562.13,2397.598,1022.611,1212.354,1245.272,1113.835,1230.744,1123.244,1365.232,1573.686,1741.669,1916.439,2141.061,2309.916,2495.032,2658.543,2674.828,2894.303,3007.381,3158.393,2460.554,2540.849,4008.356,4188.715,4803.473,5194.799,5151.172,5688.751,6063.35,6274.865,6413.934,6805.662,7139.507,7521.268,7874.941,8340.961,8629.254,9194.687,9797.191,10408.288,11059.395,11739.561
Ecuador,2097.141,2087.382,2026.375,1732.499,1794.733,2044.313,1461.92,1332.147,1234.671,1182.529,1173.126,1286.617,1375.712,1572.842,1858.323,1980.373,2037.13,2253.233,2257.861,1598.768,1461.838,1909.424,2180.386,2434.977,2700.118,3025.012,3351.476,3588.311,4267.473,4241.938,4633.247,5192.875,5664.886,6030.502,6347,6099.351,6046.302,6216.606,6367.589,6249.392,6250.124,6345.863,6502.375,6644.171,6783.285
Egypt,580.042,617.659,711.351,846.388,925.97,1049.33,1132.456,1585.217,1858.029,2266.442,1870.847,923.843,825.448,906.804,978.537,1111.782,1221.885,1342.925,1469.317,1532.889,1642.629,1569.035,1356.683,1254.101,1195.373,1330.459,1563.479,1861.052,2270.356,2578.046,2921.757,3077.343,3383.113,3400.321,3524.418,3731.177,3686.07,2495.02,2573.288,3046.594,3478.113,3626.624,3740.957,3863.8,4042.323
El Salvador,830.321,723.863,709.196,675.089,490.653,473.306,471.735,473.953,545.548,613.809,917.627,985.43,1076.555,1221.256,1386.17,1590.365,1690.71,1783.893,1892.157,1935.54,2007.654,2078.263,2132.019,2218.407,2287.468,2437.479,2634.332,2790.006,2938.711,2860.537,2978.756,3251.084,3400.182,3466.381,3529.547,3628.059,3704.235,3787.329,3922.255,4008.024,4126.151,4250.391,4375.302,4521.315,4667.913
Equatorial Guinea,123.403,109.806,121.292,126.408,130.117,205.657,241.443,284.263,296.908,253.241,312.102,299.071,351.662,343.493,245.881,333.846,527.121,965.017,777.254,1250.993,1881.301,2614.2,3093.251,5419.704,8209.468,10806.146,12732.027,15761.84,22742.384,16530.21,17136.445,21451.886,21557.65,20246.992,19245.653,11213.474,9196.29,9692.34,10453.129,8927.437,8273.827,7798.984,7405.697,7206.859,7058.914
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,176.714,109.333,126.523,139.829,165.208,165.743,170.07,161.545,141.351,146.015,137.365,159.181,197.145,189.881,203.747,215.907,190.327,260.819,311.985,395.773,422.28,358.537,466.618,352.323,380.485,323.508,331.862,342.6,349.788,364.929,392.446,412.806,434.657
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1192.824,1709.316,2717.896,3375.816,3682.085,4090.216,4155.125,4090.313,4519.541,5361.678,7218.914,8922.069,10420.438,12649.229,16762.289,18295.531,14839.884,14818.438,17644.035,17544.541,19179.836,20387.086,17531.057,18244.651,20381.011,23330.275,23523.596,24802.77,26468.049,28155.783,29886.742,31776.204
Eswatini,1353.87,1390.764,1208.985,1207.844,999.523,762.131,936.249,1172.28,1332.878,1306.668,1552.212,1567.762,1699.814,1750.159,1859.518,2171.72,2012.452,2105.168,1914.241,1861.496,1818.67,1599.207,1473.717,2235.678,2797.022,3174.588,3262.223,3402.163,3214.488,3479.71,4263.91,4603.196,4628.251,4326.001,4133.025,3779.595,3536.599,4072.023,4267.107,4176.746,4244.991,4323.046,4462.833,4620.463,4782.512
Ethiopia,215.178,215.599,220.557,237.661,217.423,246.507,247.981,256.699,257.56,262.233,269.082,287.651,293.35,176.465,151.965,152.658,155.121,152.171,134.226,128.213,129.678,125.722,116.789,120.873,138.553,165.218,198.344,249.209,334.145,397.808,360.829,379.381,493.321,535.264,613.101,702.767,777.294,817.49,852.883,953.179,1066.199,1161.574,1248.69,1328.184,1411.769
Fiji,2056.073,2062.163,1941.771,1781.084,1828.856,1744.388,1954.085,1776.896,1672.492,1747.117,1959.194,2012.454,2208.958,2339.817,2590.933,2775.116,2975.914,2905.473,2282.246,2656.26,2286.992,2238.518,2467.631,3079.88,3601.938,3943.455,4041.677,4405.521,4536.36,3678.442,4005.092,4790.871,5017.717,5268.417,5611.172,5362.557,5614.406,6071.667,6208.257,6379.707,6737.433,7129.033,7543.394,7989.581,8453.961
Finland,11257.795,10990.447,11036.936,10545.058,10889.934,11488.754,14998.341,18632.076,22122.56,24040.639,28505.543,25665.172,22514.811,17669.829,20433.664,26349.385,25827.21,24744.561,26054.154,26243.244,24347.441,24968.163,26972.43,32922.821,37749.147,39075.904,41241.008,48463.444,53744.205,47353.93,46388.407,50971.265,47554.459,49765.437,50087.91,42576.49,43574.35,45948.217,49737.554,48868.742,50774.198,52865.727,55016.979,57145.118,59480.218
France,13069.505,11456.04,10822.037,10292.761,9697.432,10108.561,13947.316,16793.955,18240.997,18236.767,22490.289,22406.387,24590.746,23082.715,24262.184,27741.294,27720.861,25028.466,25818.37,25550.782,23212.45,23245.258,25137.402,30682.636,35016.219,36057.117,37795.916,43060.031,47155.211,43190.972,42178.577,45419.973,42372.071,44144.617,44616.455,37937.861,38348.507,40108.915,42953.266,41760.606,42643.949,44132.785,45657.022,47204.929,48913.369
Gabon,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4065.933,4210.284,5015.596,5837.617,6942.698,7271.093,8652.145,10418.276,7856.853,8933.306,10893.464,9903.41,9760.747,9746.786,7453.114,7082.218,7370.199,8220.397,8112.32,8361.041,8695.659,9096.933,9551.608,10138.147
